ministerio,area,proyecto,enlace,tipo_ayuda,evento,bajada
Secretaria de Atención Comunal y Gestión Ciudadana,Comuna 14,Comunas Participativas,http://buenosaires.gob.ar/pilotocomunas,Innovación Pública,BA Ciudad Abierta,"Herramienta y plataforma web sustentada por DemocracyOS en la cual todos los vecinos pueden presentar una idea, comentar y valorar. El objetivo este piloto es incrementar los canales de participación y comunicación."
Sociedad Civil,Democracia en Red,Comunas Participativas,http://buenosaires.gob.ar/pilotocomunas,Innovación Pública,BA Ciudad Abierta,"Herramienta y plataforma web sustentada por DemocracyOS en la cual todos los vecinos pueden presentar una idea, comentar y valorar. El objetivo este piloto es incrementar los canales de participación y comunicación."
Jefatura de Gabinete,Subsecretaría de Transporte,Concurso Buenos Aires IoT,www.buenosaires.gob.ar/iot,Innovación Cívica,,"Primer concurso nacional de IoT, que buscó promover, difundir y fortalecer esta industria emergente, convocando a desarrolladores, hobbistas, startups a desarrollar soluciones que mejoren la calidad de vida de los vecinos."
Ministerio de Ambiente y Espacio Público,Agencia de Protección Ambiental,Concurso Buenos Aires IoT,www.buenosaires.gob.ar/iot,Innovación Cívica,,"Primer concurso nacional de IoT, que buscó promover, difundir y fortalecer esta industria emergente, convocando a desarrolladores, hobbistas, startups a desarrollar soluciones que mejoren la calidad de vida de los vecinos."
Ministerio de Educación,DG Tecnología Educativa,Concurso Buenos Aires IoT,www.buenosaires.gob.ar/iot,Innovación Cívica,,"Primer concurso nacional de IoT, que buscó promover, difundir y fortalecer esta industria emergente, convocando a desarrolladores, hobbistas, startups a desarrollar soluciones que mejoren la calidad de vida de los vecinos."
Sociedad Civil,Asociación Argentina de Consorcios Regionales de Experimentación Agrícola (AACREA),Concurso Buenos Aires IoT,www.buenosaires.gob.ar/iot,Innovación Cívica,,"Primer concurso nacional de IoT, que buscó promover, difundir y fortalecer esta industria emergente, convocando a desarrolladores, hobbistas, startups a desarrollar soluciones que mejoren la calidad de vida de los vecinos."
Vicejefatura de Gobierno,DG Desarrollo Saludable,Concurso Buenos Aires IoT,www.buenosaires.gob.ar/iot,Innovación Cívica,,"Primer concurso nacional de IoT, que buscó promover, difundir y fortalecer esta industria emergente, convocando a desarrolladores, hobbistas, startups a desarrollar soluciones que mejoren la calidad de vida de los vecinos."
Jefatura de Gabinete,Subsecretaría de Transporte,Countit,,Producto,BAIoT,Count.It fue uno de los proyectos ganadores del concurso BAIoT que hoy ya funciona en la Ciudad y permite monitorear el flujo vehicular transmitiendo datos en tiempo real.
Sociedad Civil,Programa Innovadores Residentes,Countit,,Producto,BAIoT,Count.It fue uno de los proyectos ganadores del concurso BAIoT que hoy ya funciona en la Ciudad y permite monitorear el flujo vehicular transmitiendo datos en tiempo real.
Ministerio de Modernización,Instituto Superior de la Carrera,Curso Datos Abiertos,,Innovación Pública,,"Curso diseñado y dictado por el Laboratorio de Gobierno sobre datos abiertos, a fin de formar al personal de carrera gerencial del GCBA, en conjunto con el ISC."
